ID,Name,SMILES,Inhibitor Efficiency,NEW Inhibitor Efficiency,Dipole Moment,Polarisability,HOMO,LUMO,Band Gap,Ionization Potential,Electron Affinity,Electro-negativity,Hardness,Softness,Electro-philicity,Electron Donor Capacity,Electron Acceptor Capacity,ΔN,NBO Charge on N,log P,Solvent Accessible SA,VDW Surface Area,VDW Volume,PAE,EXP(PAE)
sv_0001,4-dimethylaminopyridine,CN(C)c1ccncc1,0.41,1.78600912,7.27944,154.081,-5.02812,-1.20383,3.82429,5.4945999,0.88203712,3.18831851,2.30628139,0.433598434,2.203845325,4.086289754,0.897971244,0.826369563,-0.43777,0.86,320.77,213.2,125.47,-2.76096,0.063231037
sv_0002,"2,4,6-trimethylpyridine",Cc1cc(C)nc(C)c1,0.21,1.58365777,3.23926,154.901,-5.93099,-1.59594,4.33505,8.09699914,1.24373676,4.67036795,3.42663119,0.291831815,3.182766918,5.946279792,1.275911842,0.339930375,-0.53166,1.53,377.25,226.4,129.42,-2.59452,0.074681715
sv_0003,"2,6-dimethylpyridine",Cc1cccc(C)n1,0.133,1.421263106,2.43685,133.929,-5.95412,-1.72792,4.2262,6.5248333,1.36647705,3.945655175,2.579178125,0.38772041,3.018053427,5.31327828,1.367623105,0.592115914,-0.52254,1.02,333.29,193.75,112.59,-2.55853,0.077418462
sv_0004,4-methoxypyridine,COc1ccncc1,0.144,1.450565795,4.87253,120.146,-6.08065,-1.49553,4.58512,6.60026493,1.12462729,3.86244611,2.73781882,0.365254265,2.724521039,4.997971446,1.135525336,0.57300247,-0.51915,0.6,303.97,175.61,104.87,-2.296413,0.100619118
sv_0005,4-methylpyridine,Cc1ccncc1,0.119,1.379620422,4.25173,112.687,-6.09099,-1.70969,4.3813,6.92847795,1.32107102,4.124774485,2.803703465,0.3566711,3.034159062,5.447009237,1.322234752,0.512754924,-0.50277,1.27,281.77,160.71,95.83,-2.563799,0.077011617
sv_0006,2-methylpyridine,Cc1ccccn1,0.091,1.276551278,2.9761,112.872,-6.03385,-1.78806,4.24579,6.74909115,1.40379095,4.07644105,2.6726501,0.374160463,3.108781735,5.481083523,1.404642473,0.546940086,-0.50541,0.89,287.88,160.86,95.8,-2.545336,0.078446689
sv_0007,4-benzylpyridine,C(c1ccccc1)c2ccncc2,0.552,1.857004623,3.89687,218.452,-6.00773,-1.8618,4.14593,6.33431731,1.58436254,3.959339925,2.374977385,0.421056641,3.300320403,5.576862538,1.617522613,0.640145059,-0.49828,2.85,370.87,266.73,168.01,-2.72555,0.065510162
sv_0008,3-methylpyridine,Cc1cccnc1,0.068,1.161168142,3.87215,112.299,-6.04827,-1.80901,4.23926,7.56068476,1.42671519,4.493699975,3.066984785,0.326053134,3.292050805,5.922273891,1.428573916,0.408593489,-0.49082,1.27,281.53,160.78,95.83,-2.545682,0.078419552
sv_0010,pyridine,c1ccncc1,0.059,1.10390162,3.42526,91.744,-6.11957,-1.852,4.26757,6.99631026,1.44626359,4.221286925,2.775023335,0.36035733,3.210651074,5.668172453,1.446885528,0.500664812,-0.4922,0.76,245.64,128,79.01,-2.539789,0.078883042
sv_0012,3-hydroxypyridine,Oc1cccnc1,0.103,1.324570275,5.33041,101.749,-5.84283,-1.83105,4.01178,6.36348085,1.42946491,3.89647288,2.46700797,0.405349319,3.077108199,5.333720635,1.437247755,0.629006302,-0.47873,0.45,250.21,139.1,87.28,-2.510191,0.081252718
