ID,Name,SMILES,Inhibitor Efficiency,NEW Inhibitor Efficiency,Dipole Moment,Polarisability,HOMO,LUMO,Band Gap,Ionization Potential,Electron Affinity,Electro-negativity,Hardness,Softness,Electro-philicity,Electron Donor Capacity,Electron Acceptor Capacity,ΔN,NBO Charge on N,log P,Solvent Accessible SA,VDW Surface Area,VDW Volume,PAE,EXP(PAE)
gp_0001,4-dimethylaminopyridine,CN(C)c1ccncc1,0.41,1.78600912,4.95954,103.546,-5.12907,-1.13634,3.99273,7.7174578,-0.23545534,3.74100123,3.97645657,0.251480176,1.759743877,4.127301563,0.386300333,0.409786793,-0.47403,0.86,321.4,213.42,125.37,-2.66334,0.069714984
gp_0002,"2,4,6-trimethylpyridine",Cc1cc(C)nc(C)c1,0.21,1.58365777,1.97838,106.451,-5.68337,-1.5622,4.12117,9.51595392,-0.38870314,4.56362539,4.95232853,0.201925214,2.102715578,5.003569339,0.43994395,0.245982733,-0.47866,1.53,377.3,226.52,129.41,-2.56118,0.077213575
gp_0003,"2,6-dimethylpyridine",Cc1cccc(C)n1,0.133,1.421263106,1.4524,91.8567,-5.75385,-1.70615,4.0477,8.73145307,-1.628608,3.551422535,5.180030535,0.193049055,1.217425451,3.640640535,0.089218001,0.33287231,-0.47357,1.02,333.1,193.85,112.57,-2.52224,0.080279579
gp_0004,4-methoxypyridine,COc1ccncc1,0.144,1.450565795,3.43852,82.8424,-5.8899,-1.492,4.3979,10.54764014,-2.09257734,4.2275314,6.32010874,0.158225126,1.413901443,4.317680735,0.090149336,0.219337096,-0.45851,0.6,303.79,175.45,104.77,-2.251314,0.105260821
gp_0005,4-methylpyridine,Cc1ccncc1,0.119,1.379620422,2.87919,77.0511,-5.87194,-1.74452,4.12742,9.18570875,-0.40118746,4.392260645,4.793448105,0.208618092,2.012325277,4.807636612,0.415375968,0.272010805,-0.44142,1.27,281.94,160.69,95.82,-2.588964,0.075097801
gp_0006,2-methylpyridine,Cc1ccccn1,0.091,1.276551278,1.90284,77.313,-5.85181,-1.80302,4.04879,9.04783784,-0.4014691,4.32318437,4.72465347,0.211655734,1.977914699,4.730088568,0.406904198,0.283281689,-0.45247,0.89,287.86,160.89,95.78,-2.540394,0.078835333
gp_0007,4-benzylpyridine,C(c1ccccc1)c2ccncc2,0.552,1.857004623,2.80507,146.665,-5.86541,-1.80955,4.05586,8.2731165,-0.10168845,4.085714025,4.187402475,0.238811532,1.993247507,4.559529829,0.473815805,0.347982549,-0.44029,2.85,369.73,266.54,167.93,-2.72349,0.065645252
gp_0008,3-methylpyridine,Cc1cccnc1,0.068,1.161168142,2.61871,76.8446,-5.84772,-1.83813,4.00959,9.455414,-1.29099888,4.08220756,5.37320644,0.186108613,1.550695915,4.2634505,0.181242941,0.271513153,-0.43219,1.27,281.7,160.78,95.82,-2.550077,0.078075654
gp_0010,pyridine,c1ccncc1,0.059,1.10390162,2.32614,62.7542,-5.96092,-1.91078,4.05014,9.37791321,-0.43782081,4.4700462,4.90786701,0.203754502,2.035641245,4.884147722,0.414101522,0.257744739,-0.43496,0.76,245.6,127.94,78.98,-2.559219,0.077365139
gp_0012,3-hydroxypyridine,Oc1cccnc1,0.103,1.324570275,3.5934,69.3699,-5.95086,-1.9018,4.04906,11.31271804,-1.85139236,4.73066284,6.5820552,0.151928231,1.700013918,4.888102238,0.157439399,0.17238819,-0.41988,0.45,250.06,138.98,87.2,-2.511002,0.081186849
